,seed,state,ideal_count,noise_count,ideal_time,noise_time,ideal_swaps_needed,noise_swaps_needed
0,0,001111,115,138,12.575174808502197,11.91555142402649,145,145
1,0,000011,135,143,12.575174808502197,11.91555142402649,145,145
2,0,101111,132,150,12.575174808502197,11.91555142402649,145,145
3,0,010001,122,104,12.575174808502197,11.91555142402649,145,145
4,0,000111,108,137,12.575174808502197,11.91555142402649,145,145
5,0,111000,117,116,12.575174808502197,11.91555142402649,145,145
6,0,111111,121,121,12.575174808502197,11.91555142402649,145,145
7,0,011001,126,93,12.575174808502197,11.91555142402649,145,145
8,0,110110,134,130,12.575174808502197,11.91555142402649,145,145
9,0,011111,130,113,12.575174808502197,11.91555142402649,145,145
10,0,100001,131,157,12.575174808502197,11.91555142402649,145,145
11,0,101000,137,116,12.575174808502197,11.91555142402649,145,145
12,0,101100,118,106,12.575174808502197,11.91555142402649,145,145
13,0,001110,143,135,12.575174808502197,11.91555142402649,145,145
14,0,100011,124,130,12.575174808502197,11.91555142402649,145,145
15,0,101010,114,146,12.575174808502197,11.91555142402649,145,145
16,0,100010,146,147,12.575174808502197,11.91555142402649,145,145
17,0,111101,133,112,12.575174808502197,11.91555142402649,145,145
18,0,010110,131,136,12.575174808502197,11.91555142402649,145,145
19,0,001011,113,136,12.575174808502197,11.91555142402649,145,145
20,0,011101,115,96,12.575174808502197,11.91555142402649,145,145
21,0,000101,130,127,12.575174808502197,11.91555142402649,145,145
22,0,011100,136,130,12.575174808502197,11.91555142402649,145,145
23,0,011110,117,121,12.575174808502197,11.91555142402649,145,145
24,0,010100,146,127,12.575174808502197,11.91555142402649,145,145
25,0,000000,113,136,12.575174808502197,11.91555142402649,145,145
26,0,100100,121,136,12.575174808502197,11.91555142402649,145,145
27,0,100110,134,134,12.575174808502197,11.91555142402649,145,145
28,0,000001,143,151,12.575174808502197,11.91555142402649,145,145
29,0,001001,130,142,12.575174808502197,11.91555142402649,145,145
30,0,110010,143,130,12.575174808502197,11.91555142402649,145,145
31,0,001010,123,136,12.575174808502197,11.91555142402649,145,145
32,0,111010,122,117,12.575174808502197,11.91555142402649,145,145
33,0,100101,117,115,12.575174808502197,11.91555142402649,145,145
34,0,110011,130,117,12.575174808502197,11.91555142402649,145,145
35,0,110101,118,109,12.575174808502197,11.91555142402649,145,145
36,0,111100,122,99,12.575174808502197,11.91555142402649,145,145
37,0,000010,128,153,12.575174808502197,11.91555142402649,145,145
38,0,011010,143,135,12.575174808502197,11.91555142402649,145,145
39,0,101001,117,118,12.575174808502197,11.91555142402649,145,145
40,0,011000,115,134,12.575174808502197,11.91555142402649,145,145
41,0,100000,139,128,12.575174808502197,11.91555142402649,145,145
42,0,010011,146,131,12.575174808502197,11.91555142402649,145,145
43,0,110000,150,136,12.575174808502197,11.91555142402649,145,145
44,0,111011,126,115,12.575174808502197,11.91555142402649,145,145
45,0,101011,121,131,12.575174808502197,11.91555142402649,145,145
46,0,111110,132,126,12.575174808502197,11.91555142402649,145,145
47,0,000100,148,150,12.575174808502197,11.91555142402649,145,145
48,0,010101,120,115,12.575174808502197,11.91555142402649,145,145
49,0,010000,122,131,12.575174808502197,11.91555142402649,145,145
50,0,101110,129,158,12.575174808502197,11.91555142402649,145,145
51,0,111001,139,101,12.575174808502197,11.91555142402649,145,145
52,0,001101,120,97,12.575174808502197,11.91555142402649,145,145
53,0,110111,138,112,12.575174808502197,11.91555142402649,145,145
54,0,100111,125,132,12.575174808502197,11.91555142402649,145,145
55,0,110100,121,124,12.575174808502197,11.91555142402649,145,145
56,0,000110,132,143,12.575174808502197,11.91555142402649,145,145
57,0,110001,129,125,12.575174808502197,11.91555142402649,145,145
58,0,010010,126,141,12.575174808502197,11.91555142402649,145,145
59,0,010111,125,126,12.575174808502197,11.91555142402649,145,145
60,0,011011,127,127,12.575174808502197,11.91555142402649,145,145
61,0,001100,114,143,12.575174808502197,11.91555142402649,145,145
62,0,101101,133,129,12.575174808502197,11.91555142402649,145,145
63,0,001000,137,142,12.575174808502197,11.91555142402649,145,145
0,1,001111,139,124,11.896169185638428,11.83509635925293,143,143
1,1,000011,115,145,11.896169185638428,11.83509635925293,143,143
2,1,101111,133,112,11.896169185638428,11.83509635925293,143,143
3,1,010001,126,123,11.896169185638428,11.83509635925293,143,143
4,1,000111,117,154,11.896169185638428,11.83509635925293,143,143
5,1,111000,108,141,11.896169185638428,11.83509635925293,143,143
6,1,111111,121,126,11.896169185638428,11.83509635925293,143,143
7,1,011001,146,127,11.896169185638428,11.83509635925293,143,143
8,1,110110,129,119,11.896169185638428,11.83509635925293,143,143
9,1,011111,126,107,11.896169185638428,11.83509635925293,143,143
10,1,100001,146,151,11.896169185638428,11.83509635925293,143,143
11,1,101000,130,119,11.896169185638428,11.83509635925293,143,143
12,1,101100,117,118,11.896169185638428,11.83509635925293,143,143
13,1,001110,117,127,11.896169185638428,11.83509635925293,143,143
14,1,100011,136,150,11.896169185638428,11.83509635925293,143,143
15,1,101010,120,116,11.896169185638428,11.83509635925293,143,143
16,1,100010,114,127,11.896169185638428,11.83509635925293,143,143
17,1,111101,138,116,11.896169185638428,11.83509635925293,143,143
18,1,010110,114,121,11.896169185638428,11.83509635925293,143,143
19,1,001011,126,130,11.896169185638428,11.83509635925293,143,143
20,1,011101,130,109,11.896169185638428,11.83509635925293,143,143
21,1,000101,150,135,11.896169185638428,11.83509635925293,143,143
22,1,011100,124,122,11.896169185638428,11.83509635925293,143,143
23,1,011110,121,115,11.896169185638428,11.83509635925293,143,143
