,seed,state,ideal_count,noise_count,ideal_time,noise_time,ideal_swaps_needed,noise_swaps_needed
0,0,001111,115,110,0.18268203735351562,0.18334722518920898,137,137
1,0,000011,132,134,0.18268203735351562,0.18334722518920898,137,137
2,0,101111,132,103,0.18268203735351562,0.18334722518920898,137,137
3,0,010001,146,128,0.18268203735351562,0.18334722518920898,137,137
4,0,000111,143,122,0.18268203735351562,0.18334722518920898,137,137
5,0,111000,129,140,0.18268203735351562,0.18334722518920898,137,137
6,0,111111,121,114,0.18268203735351562,0.18334722518920898,137,137
7,0,011001,120,158,0.18268203735351562,0.18334722518920898,137,137
8,0,110110,122,130,0.18268203735351562,0.18334722518920898,137,137
9,0,011111,130,122,0.18268203735351562,0.18334722518920898,137,137
10,0,100001,121,141,0.18268203735351562,0.18334722518920898,137,137
11,0,101000,131,122,0.18268203735351562,0.18334722518920898,137,137
12,0,101100,117,130,0.18268203735351562,0.18334722518920898,137,137
13,0,001110,113,121,0.18268203735351562,0.18334722518920898,137,137
14,0,100011,134,120,0.18268203735351562,0.18334722518920898,137,137
15,0,101010,124,135,0.18268203735351562,0.18334722518920898,137,137
16,0,100010,146,129,0.18268203735351562,0.18334722518920898,137,137
17,0,111101,133,112,0.18268203735351562,0.18334722518920898,137,137
18,0,010110,143,130,0.18268203735351562,0.18334722518920898,137,137
19,0,001011,108,118,0.18268203735351562,0.18334722518920898,137,137
20,0,011101,115,116,0.18268203735351562,0.18334722518920898,137,137
21,0,000101,114,130,0.18268203735351562,0.18334722518920898,137,137
22,0,011100,126,132,0.18268203735351562,0.18334722518920898,137,137
23,0,011110,127,150,0.18268203735351562,0.18334722518920898,137,137
24,0,010100,115,148,0.18268203735351562,0.18334722518920898,137,137
25,0,000000,113,144,0.18268203735351562,0.18334722518920898,137,137
26,0,100100,137,132,0.18268203735351562,0.18334722518920898,137,137
27,0,100110,114,124,0.18268203735351562,0.18334722518920898,137,137
28,0,000001,148,151,0.18268203735351562,0.18334722518920898,137,137
29,0,001001,130,92,0.18268203735351562,0.18334722518920898,137,137
30,0,110010,143,117,0.18268203735351562,0.18334722518920898,137,137
31,0,001010,135,115,0.18268203735351562,0.18334722518920898,137,137
32,0,111010,130,121,0.18268203735351562,0.18334722518920898,137,137
33,0,100101,118,131,0.18268203735351562,0.18334722518920898,137,137
34,0,110011,134,114,0.18268203735351562,0.18334722518920898,137,137
35,0,110101,122,141,0.18268203735351562,0.18334722518920898,137,137
36,0,111100,139,115,0.18268203735351562,0.18334722518920898,137,137
37,0,000010,128,134,0.18268203735351562,0.18334722518920898,137,137
38,0,011010,146,127,0.18268203735351562,0.18334722518920898,137,137
39,0,101001,117,128,0.18268203735351562,0.18334722518920898,137,137
40,0,011000,122,123,0.18268203735351562,0.18334722518920898,137,137
41,0,100000,139,124,0.18268203735351562,0.18334722518920898,137,137
42,0,010011,131,132,0.18268203735351562,0.18334722518920898,137,137
43,0,110000,150,122,0.18268203735351562,0.18334722518920898,137,137
44,0,111011,138,106,0.18268203735351562,0.18334722518920898,137,137
45,0,101011,125,115,0.18268203735351562,0.18334722518920898,137,137
46,0,111110,126,121,0.18268203735351562,0.18334722518920898,137,137
