,seed,state,ideal_count,noise_count,ideal_time,noise_time,ideal_swaps_needed,noise_swaps_needed
0,0,001111,139,109,0.01352834701538086,0.015131473541259766,87,87
1,0,000011,115,130,0.01352834701538086,0.015131473541259766,87,87
2,0,101111,133,120,0.01352834701538086,0.015131473541259766,87,87
3,0,010001,126,135,0.01352834701538086,0.015131473541259766,87,87
4,0,000111,117,121,0.01352834701538086,0.015131473541259766,87,87
5,0,111000,108,123,0.01352834701538086,0.015131473541259766,87,87
6,0,111111,121,120,0.01352834701538086,0.015131473541259766,87,87
7,0,011001,146,122,0.01352834701538086,0.015131473541259766,87,87
8,0,110110,129,137,0.01352834701538086,0.015131473541259766,87,87
9,0,011111,126,129,0.01352834701538086,0.015131473541259766,87,87
10,0,100001,146,107,0.01352834701538086,0.015131473541259766,87,87
11,0,101000,130,117,0.01352834701538086,0.015131473541259766,87,87
12,0,101100,117,132,0.01352834701538086,0.015131473541259766,87,87
13,0,001110,117,162,0.01352834701538086,0.015131473541259766,87,87
14,0,100011,136,149,0.01352834701538086,0.015131473541259766,87,87
15,0,101010,120,94,0.01352834701538086,0.015131473541259766,87,87
16,0,100010,114,156,0.01352834701538086,0.015131473541259766,87,87
17,0,111101,138,125,0.01352834701538086,0.015131473541259766,87,87
18,0,010110,114,148,0.01352834701538086,0.015131473541259766,87,87
19,0,001011,126,114,0.01352834701538086,0.015131473541259766,87,87
20,0,011101,130,120,0.01352834701538086,0.015131473541259766,87,87
21,0,000101,150,120,0.01352834701538086,0.015131473541259766,87,87
22,0,011100,124,137,0.01352834701538086,0.015131473541259766,87,87
23,0,011110,121,134,0.01352834701538086,0.015131473541259766,87,87
24,0,010100,146,134,0.01352834701538086,0.015131473541259766,87,87
25,0,000000,113,121,0.01352834701538086,0.015131473541259766,87,87
26,0,100100,121,126,0.01352834701538086,0.015131473541259766,87,87
27,0,100110,118,135,0.01352834701538086,0.015131473541259766,87,87
28,0,000001,122,141,0.01352834701538086,0.015131473541259766,87,87
29,0,001001,122,134,0.01352834701538086,0.015131473541259766,87,87
30,0,110010,143,139,0.01352834701538086,0.015131473541259766,87,87
31,0,001010,130,138,0.01352834701538086,0.015131473541259766,87,87
32,0,111010,115,122,0.01352834701538086,0.015131473541259766,87,87
33,0,100101,121,140,0.01352834701538086,0.015131473541259766,87,87
34,0,110011,117,142,0.01352834701538086,0.015131473541259766,87,87
35,0,110101,134,114,0.01352834701538086,0.015131473541259766,87,87
36,0,111100,125,124,0.01352834701538086,0.015131473541259766,87,87
37,0,000010,137,142,0.01352834701538086,0.015131473541259766,87,87
38,0,011010,113,143,0.01352834701538086,0.015131473541259766,87,87
39,0,101001,120,139,0.01352834701538086,0.015131473541259766,87,87
40,0,011000,135,107,0.01352834701538086,0.015131473541259766,87,87
41,0,100000,148,128,0.01352834701538086,0.015131473541259766,87,87
42,0,010011,143,120,0.01352834701538086,0.015131473541259766,87,87
43,0,110000,132,115,0.01352834701538086,0.015131473541259766,87,87
44,0,111011,130,105,0.01352834701538086,0.015131473541259766,87,87
45,0,101011,115,126,0.01352834701538086,0.015131473541259766,87,87
46,0,111110,132,123,0.01352834701538086,0.015131473541259766,87,87
47,0,000100,139,119,0.01352834701538086,0.015131473541259766,87,87
48,0,010101,143,128,0.01352834701538086,0.015131473541259766,87,87
49,0,010000,128,134,0.01352834701538086,0.015131473541259766,87,87
50,0,101110,133,136,0.01352834701538086,0.015131473541259766,87,87
51,0,111001,125,109,0.01352834701538086,0.015131473541259766,87,87
52,0,001101,129,139,0.01352834701538086,0.015131473541259766,87,87
53,0,110111,132,143,0.01352834701538086,0.015131473541259766,87,87
54,0,100111,122,130,0.01352834701538086,0.015131473541259766,87,87
55,0,110100,134,123,0.01352834701538086,0.015131473541259766,87,87
56,0,000110,137,110,0.01352834701538086,0.015131473541259766,87,87
57,0,110001,131,128,0.01352834701538086,0.015131473541259766,87,87
58,0,010010,123,120,0.01352834701538086,0.015131473541259766,87,87
59,0,010111,122,128,0.01352834701538086,0.015131473541259766,87,87
60,0,011011,127,127,0.01352834701538086,0.015131473541259766,87,87
61,0,001100,131,131,0.01352834701538086,0.015131473541259766,87,87
62,0,101101,118,121,0.01352834701538086,0.015131473541259766,87,87
63,0,001000,143,147,0.01352834701538086,0.015131473541259766,87,87
0,1,001111,139,109,0.013314485549926758,0.014314413070678711,87,87
1,1,000011,115,130,0.013314485549926758,0.014314413070678711,87,87
2,1,101111,133,120,0.013314485549926758,0.014314413070678711,87,87
3,1,010001,126,135,0.013314485549926758,0.014314413070678711,87,87
4,1,000111,117,121,0.013314485549926758,0.014314413070678711,87,87
5,1,111000,108,123,0.013314485549926758,0.014314413070678711,87,87
6,1,111111,121,120,0.013314485549926758,0.014314413070678711,87,87
7,1,011001,146,122,0.013314485549926758,0.014314413070678711,87,87
8,1,110110,129,137,0.013314485549926758,0.014314413070678711,87,87
9,1,011111,126,129,0.013314485549926758,0.014314413070678711,87,87
10,1,100001,146,107,0.013314485549926758,0.014314413070678711,87,87
11,1,101000,130,117,0.013314485549926758,0.014314413070678711,87,87
12,1,101100,117,132,0.013314485549926758,0.014314413070678711,87,87
13,1,001110,117,162,0.013314485549926758,0.014314413070678711,87,87
14,1,100011,136,149,0.013314485549926758,0.014314413070678711,87,87
15,1,101010,120,94,0.013314485549926758,0.014314413070678711,87,87
16,1,100010,114,156,0.013314485549926758,0.014314413070678711,87,87
17,1,111101,138,125,0.013314485549926758,0.014314413070678711,87,87
18,1,010110,114,148,0.013314485549926758,0.014314413070678711,87,87
